ID1,ID2,total_ibd_length,proportion_ibd
AG0128-C_bissau,AG0152-C_bissau,1773953,0.03334455248733268
AG0128-C_bissau,AG0156-C_bissau,1119298,0.021039165586668022
AG0128-C_bissau,AG0169-C_bissau,1389199,0.026112427426684966
AG0128-C_bissau,AG0170-C_bissau,1898445,0.035684597589008445
AG0128-C_bissau,AG0178-C_bissau,2114717,0.03974980847990601
AG0128-C_bissau,AG0203-C_bissau,11852365,0.22278595139867
AG0128-C_bissau,AG0221-C_bissau,2121596,0.039879111328719005
AG0128-C_bissau,AG0442-CW_bissau,517495,0.009727224559744382
AG0128-C_bissau,AG0450-CW_bissau,1463399,0.027507146336689957
AG0129-C_bissau,AG0082-C_bissau,4490823,0.08441288085694537
AG0129-C_bissau,AG0085-C_bissau,1940896,0.036482538457588254
AG0129-C_bissau,AG0102-C_bissau,488666,0.009185333030680583
AG0129-C_bissau,AG0106-C_bissau,754674,0.014185419119799286
AG0129-C_bissau,AG0108-C_bissau,2654818,0.049901952388431696
AG0129-C_bissau,AG0118-C_bissau,2449960,0.04605128761126455
AG0129-C_bissau,AG0119-C_bissau,859573,0.016157179482880334
AG0129-C_bissau,AG0120-C_bissau,1430339,0.02688572575495458
AG0129-C_bissau,AG0123-C_bissau,3350939,0.06298676535812961
AG0129-C_bissau,AG0124-C_bissau,408801,0.007684130527344348
AG0129-C_bissau,AG0127-C_bissau,360373,0.006773841479180982
AG0129-C_bissau,AG0133-C_bissau,2361816,0.044394466807983146
AG0129-C_bissau,AG0138-C_bissau,5043727,0.09480567956607475
AG0129-C_bissau,AG0144-C_bissau,1883746,0.03540830414887147
AG0129-C_bissau,AG0148-C_bissau,7608087,0.14300731546985374
AG0129-C_bissau,AG0152-C_bissau,716822,0.013473924508188654
AG0129-C_bissau,AG0156-C_bissau,1412015,0.026541294093136096
AG0129-C_bissau,AG0169-C_bissau,2702399,0.0507963205886601
AG0129-C_bissau,AG0179-C_bissau,3208091,0.06030168709860948
AG0129-C_bissau,AG0183-C_bissau,2864597,0.05384511597632843
AG0129-C_bissau,AG0197-C_bissau,3274901,0.06155749802013824
AG0129-C_bissau,AG0203-C_bissau,2303818,0.04330429285458059
AG0129-C_bissau,AG0204-C_bissau,2139301,0.04021190780178691
AG0129-C_bissau,AG0214-C_bissau,1040807,0.01956378981894293
AG0129-C_bissau,AG0221-C_bissau,1232216,0.023161657094483975
AG0129-C_bissau,AG0226-C_bissau,440488,0.00827974317021939
AG0129-C_bissau,AG0229-C_bissau,530887,0.009978950646574393
AG0129-C_bissau,AG0231-C_bissau,1916005,0.03601466853320909
AG0129-C_bissau,AG0442-CW_bissau,3980945,0.0748288311481108
AG0129-C_bissau,AG0445-CW_bissau,494746,0.009299617275597433
AG0129-C_bissau,AG0446-CW_bissau,726238,0.013650914713803303
AG0129-C_bissau,AG0454-CW_bissau,3025886,0.056876825117511645
AG0133-C_bissau,AG0082-C_bissau,438102,0.008234894122789849
AG0133-C_bissau,AG0085-C_bissau,1107058,0.020809093356769625
AG0133-C_bissau,AG0108-C_bissau,2873347,0.054009587545904486
AG0133-C_bissau,AG0124-C_bissau,1811871,0.03405728768449669
AG0133-C_bissau,AG0152-C_bissau,1073250,0.020173612805429345
AG0133-C_bissau,AG0156-C_bissau,422242,0.007936777654963985
AG0133-C_bissau,AG0162-C_bissau,3098295,0.05823787904681827
AG0133-C_bissau,AG0169-C_bissau,4700873,0.08836113836431125
AG0133-C_bissau,AG0170-C_bissau,2517546,0.04732168481142084
AG0133-C_bissau,AG0178-C_bissau,2013941,0.03785554712040921
AG0133-C_bissau,AG0183-C_bissau,3025605,0.05687154323053441
AG0133-C_bissau,AG0197-C_bissau,478258,0.008989696448263711
AG0133-C_bissau,AG0204-C_bissau,558234,0.010492985390939711
AG0133-C_bissau,AG0221-C_bissau,1192392,0.022413095290278597
AG0133-C_bissau,AG0442-CW_bissau,1671846,0.0314252726525095
AG0133-C_bissau,AG0445-CW_bissau,2757310,0.05182846897231622
AG0133-C_bissau,AG0446-CW_bissau,591830,0.011124481031108547
AG0133-C_bissau,AG0450-CW_bissau,1055507,0.01984010205583071
AG0138-C_bissau,AG0085-C_bissau,2595687,0.048790481716362896
AG0138-C_bissau,AG0108-C_bissau,769323,0.014460772722395826
AG0138-C_bissau,AG0111-C_bissau,2960608,0.05564981081822181
AG0138-C_bissau,AG0123-C_bissau,1169619,0.02198503688411224
AG0138-C_bissau,AG0127-C_bissau,1705155,0.03205137362519625
AG0138-C_bissau,AG0128-C_bissau,3074938,0.05779884333817964
AG0138-C_bissau,AG0144-C_bissau,1162604,0.021853177677189264
AG0138-C_bissau,AG0152-C_bissau,1288414,0.02421799689643088
AG0138-C_bissau,AG0156-C_bissau,3830639,0.07200356672105945
AG0138-C_bissau,AG0162-C_bissau,927664,0.01743706904219502
AG0138-C_bissau,AG0169-C_bissau,9268555,0.17421871869166194
AG0138-C_bissau,AG0170-C_bissau,1354659,0.025463187653752724
AG0138-C_bissau,AG0183-C_bissau,1775471,0.03337308595506028
AG0138-C_bissau,AG0197-C_bissau,708306,0.013313851378301827
AG0138-C_bissau,AG0204-C_bissau,1782602,0.03350712558507706
AG0138-C_bissau,AG0214-C_bissau,2021441,0.0379965227514744
AG0138-C_bissau,AG0221-C_bissau,1834469,0.03448205665927152
AG0138-C_bissau,AG0231-C_bissau,6150968,0.11561821272824237
